qid,fold,gold_count,dense_best_rank,bm25_best_rank,union_recall_100,union_expanded_recall_100,all_golds_over_512,question
8384,fold_2,1,3,10,1.0,1.0,0,"Việc đẩy mạnh cải cách hành chính, chuyển đổi số trong quản lý nhà nước về đất đai được cụ thể như thế nào?"
96040,fold_1,1,2,19,1.0,1.0,0,Tên tuyến đường sắt quốc gia được đặt như thế nào?
153714,fold_4,1,40,>100,1.0,1.0,0,Mức lương của giảng viên cao cấp (tiến sỹ) hiện nay là bao nhiêu?
13192,fold_2,1,1,1,1.0,1.0,0,Có quy định nào bắt buộc chi nhánh ngân hàng hợp tác xã phải khai trương hoạt động ngay sau khi thành lập hay không?
30148,fold_1,1,14,4,1.0,1.0,0,Hồ sơ hải quan đối với hàng hóa tạm nhập tái xuất cần chuẩn bị những giấy tờ gì?
32282,fold_0,1,1,2,1.0,1.0,0,Việc chẩn đoán bệnh giun xoắn ở lợn bằng phương pháp ép cơ thì cần thực hiện ra sao?
151652,fold_0,1,7,1,1.0,1.0,0,Mức truy cứu trách nhiệm hình sự đối với người phát tán trái phép chất phóng xạ làm chết 03 người được quy định thế nào?
34440,fold_2,2,1,1,1.0,1.0,0,Có những loại hợp đồng bảo hiểm nào được giao kết giữa doanh nghiệp bảo hiểm và người mua bảo hiểm?
158586,fold_2,1,32,57,1.0,1.0,0,"Kinh doanh hạt điều, các sản phẩm chế biến từ hạt điều có phải làm thủ tục công bố sản phẩm?"
135022,fold_4,1,20,>100,1.0,1.0,0,Cơ sở trợ giúp xã hội phải có trách nhiệm khắc phục hậu quả như thế nào khi cấp vật dụng sinh hoạt hằng ngày không đảm bảo chất lượng?
49730,fold_2,1,1,34,1.0,1.0,0,Thủ tục xin chuyển trường trung học phổ thông được quy định như thế nào?
16392,fold_0,1,3,1,1.0,1.0,0,Doanh nghiệp cung ứng dịch vụ bưu chính thay đổi người đại diện theo pháp luật có cần phải thông báo đến cơ quan có thẩm quyền không?
57174,fold_2,1,8,2,1.0,1.0,0,Kế hoạch kiểm toán nội bộ hằng năm phải được gửi cho Ngân hàng Nhà nước trong khoảng thời gian nào?
134928,fold_1,1,1,1,1.0,1.0,0,Cơ quan nào có trách nhiệm trong việc lựa chọn đồ chơi cho trẻ được sử dụng trong các cơ sở giáo dục mầm non?
123750,fold_4,3,5,23,0.6666666666666666,0.6666666666666666,0,Kiểm toán viên cao cấp phải đáp ứng yêu cầu gì về năng lực chuyên môn nghiệp vụ?
14858,fold_1,1,>100,17,1.0,1.0,0,Cam đoan không đúng về tình trạng hôn nhân để làm thủ tục cấp giấy xác nhận tình trạng hôn nhân sẽ bị xử lý như thế nào?
143202,fold_1,1,9,2,1.0,1.0,0,Mẫu phiếu công tác chính thức ngoài nước cho Đảng viên mới nhất 2022?
154226,fold_2,1,13,1,1.0,1.0,0,Nội dung hoạt động của các điểm cung cấp dịch vụ thông tin công cộng phục vụ nhân dân các xã có điều kiện kinh tế - xã hội đặc biệt khó khăn được quy định thế nào?
86136,fold_1,1,36,>100,1.0,1.0,0,Có hình xăm con rắn ở lưng thì có tham gia nghĩa vụ quân sự được không?
35728,fold_0,1,1,>100,1.0,1.0,0,Thủ tục giải quyết cho người nước ngoài thường trú tại Việt Nam thực hiện như thế nào?
29526,fold_0,1,23,>100,1.0,1.0,0,Điều kiện thực hiện thủ tục bổ sung thông tin trong hồ sơ đăng ký doanh nghiệp?
73662,fold_1,1,1,15,1.0,1.0,0,Nhiệm vụ và quyền hạn của hiệu trưởng cơ sở giáo dục đại học được quy định như thế nào?
16264,fold_3,1,1,4,1.0,1.0,0,Thương nhân nước ngoài không có hiện diện tại Việt Nam thực hiện hoạt động nhập khẩu trong phạm vi nào?
80608,fold_3,1,>100,21,1.0,1.0,0,Thành viên môi giới được chấp thuận tư cách thành viên khi đáp ứng điều kiện gì?
76952,fold_3,1,5,8,1.0,1.0,0,Giấy phép xây dựng gồm những loại nào?
121868,fold_0,2,2,>100,1.0,1.0,0,"Cơ quan, tổ chức sử dụng dịch vụ mạng truyền số liệu chuyên dùng có quyền và trách nhiệm như thế nào?"
32562,fold_4,1,1,40,1.0,1.0,0,"Nội dung đánh giá, xếp loại cán bộ đoàn thanh tra ngành Tài chính ở mức chưa hoàn thành nhiệm vụ được quy định như thế nào?"
62148,fold_1,1,5,>100,1.0,1.0,0,"Điều kiện cấp hộ chiếu ngoại giao, hộ chiếu công vụ được quy định như thế nào?"
13668,fold_0,1,41,20,1.0,1.0,0,Trình tự thủ tục phát hành cổ phiếu trả cổ tức được thực hiện như thế nào?
32928,fold_0,1,4,32,1.0,1.0,0,Muốn tìm hiểu thông tin về biện pháp bảo đảm thì thực hiện như thế nào?
65580,fold_4,1,1,43,1.0,1.0,0,"Thực hiện chính sách tinh giản biên chế với CB, CC, VC đến hết 31/12/2030"
168300,fold_2,1,1,4,1.0,1.0,0,Nội dung quản lý đất dành cho đường sắt được quy định ra sao?
74674,fold_4,1,29,1,1.0,1.0,0,Dự kiến tháng 06/2023 sẽ hoàn thành Nghị định hướng dẫn Luật sửa đổi Luật Tần số vô tuyến điện 2022 đúng không?
134030,fold_0,1,1,1,1.0,1.0,0,Quy định về khen thưởng của Hội Người mù Việt Nam như thế nào?
21238,fold_3,1,1,20,1.0,1.0,0,Dự án quy hoạch sử dụng đất tại địa phương sẽ do cơ quan có thẩm quyền nào phê duyệt?
167524,fold_1,1,8,2,1.0,1.0,0,Mức xử phạt đối với việc điều khiển xe không có gương bên trái?
130302,fold_2,1,1,34,1.0,1.0,0,Hội Kế toán địa chất Việt Nam có tư cách pháp nhân không?
147058,fold_0,1,6,2,1.0,1.0,0,Xử phạt đối với ô tô vi phạm quy tắc giao thông về nhường đường tại nơi giao nhau là bao nhiêu?
49168,fold_4,1,1,1,1.0,1.0,0,Nộp một trong những chứng từ chứng nhận hàng hóa xuất xứ có được hưởng ưu đãi thuế quan theo EVFTA không?
163810,fold_1,1,24,>100,1.0,1.0,0,Hàm lượng chì cho phép trong sữa bột dành cho trẻ em dưới 12 tháng tuổi là bao nhiêu?
97372,fold_3,1,3,1,1.0,1.0,0,Thành viên Đoàn thanh tra chuyên ngành hải quan có phải lập biên bản khi giao trả hồ sơ tài liệu cho đối tượng thanh tra không?
110766,fold_3,1,16,3,1.0,1.0,0,Chi phí dán thẻ thu phí điện tử không dừng như thế nào?
9980,fold_0,1,20,>100,1.0,1.0,0,Mẫu Tờ khai hải quan mới nhất 2023 là mẫu nào?
141284,fold_4,2,2,4,1.0,1.0,0,Có thể xuất xăng dầu dự trữ quốc gia trong những trường hợp nào?
107682,fold_0,1,1,5,1.0,1.0,0,Hồ sơ kỹ thuật trong hồ sơ đăng ký sản phẩm mới có khả năng gây mất an toàn cần có những giấy tờ gì?
138896,fold_1,1,2,1,1.0,1.0,0,Biên phòng cửa khẩu cảng có được chia sẻ thông tin cá nhân của người làm thủ tục biên phòng điện tử cảng biển cho bên thứ ba không?
48768,fold_4,1,4,10,1.0,1.0,0,Cảnh sát giao thông có quyền xử phạt hành vi mang xe đồ chơi ra đường gây ảnh hưởng đến giao thông hay không?
5576,fold_4,1,7,56,1.0,1.0,0,Thời hạn cấp Giấy chứng nhận đủ điều kiện kinh doanh dịch vụ kế toán đối với Công ty hợp danh là bao lâu?
130286,fold_1,1,1,1,1.0,1.0,0,Nhân viên phục vụ trên tàu biển Việt Nam gồm những ai?
88654,fold_1,3,1,22,0.6666666666666666,0.6666666666666666,0,Cấp lại thẻ bảo hiểm y tế tốn bao nhiêu tiền?
67594,fold_0,1,15,4,1.0,1.0,0,Tiêu chuẩn xét nâng bậc lương trước thời hạn đối với công chức cấp tỉnh do ai quy định?
96504,fold_2,1,1,1,1.0,1.0,0,Thời hạn góp vốn điều lệ đối với thành viên liên hiệp hợp tác xã là bao lâu?
134262,fold_3,1,4,16,1.0,1.0,0,Thủ tục nhận và xử lý đơn khởi kiện được quy định như thế nào?
72614,fold_3,1,1,2,1.0,1.0,0,Người 15 tuổi sử dụng trái phép chất ma túy trong thời gian cai nghiện ma túy tự nguyện thì bị xử lý như thế nào?
125532,fold_0,1,4,77,1.0,1.0,0,"Tiếng nói, chữ viết dùng trước Tòa án nhân dân có bắt buộc phải là tiếng Việt theo quy định không?"
76818,fold_0,1,1,2,1.0,1.0,0,Khi vay từ nguồn vốn của Quỹ Phát triển khoa học và công nghệ Quốc gia sẽ có chế độ thông tin và lưu trữ hồ sơ như thế nào?
125146,fold_3,1,30,2,1.0,1.0,0,Người bán cần làm gì để đăng ký sử dụng hóa đơn điện tử được khởi tạo từ máy tính kết nối chuyển dữ liệu điện tử?
52852,fold_0,1,39,1,1.0,1.0,0,Phẫu thuật gỡ dính thần kinh che phủ chống chỉ định cho những trường hợp nào?
85256,fold_2,1,65,13,1.0,1.0,0,Chứng chỉ năng lực hoạt động xây dựng có bắt buộc đối với tổ chức khi tham gia hoạt động xây dựng không?
110422,fold_1,1,5,1,1.0,1.0,0,Quy trình trao tặng Huân chương Quân công hạng ba trong Quân đội nhân dân Việt Nam được như thế nào?
147836,fold_3,1,2,1,1.0,1.0,0,Đăng ký sang tên xe đối với trường hợp xe đã chuyển quyền sở hữu qua nhiều người như thế nào?
34800,fold_2,1,1,16,1.0,1.0,0,Biên tập kỹ thuật bản đồ hành chính các cấp xây dựng kế hoạch biên tập chi tiết như thế nào?
89574,fold_2,1,1,1,1.0,1.0,0,Cơ sở sản xuất phải nộp báo cáo hoạt động và việc duy trì đáp ứng GMP khi nào?
128146,fold_2,1,1,1,1.0,1.0,0,"Khu vực sơ chế, chế biến vị thuốc cổ truyền theo phương pháp cổ truyền được pháp luật quy định như thế nào?"
10720,fold_2,1,53,3,1.0,1.0,0,"Tài xế điều khiển xe tải cá nhân gia nhập hợp tác xã để vận chuyển thanh long nhưng đã hết hạn đăng kiểm 15 ngày, bị giam bằng lái 2 tháng có đúng không?"
64384,fold_1,1,1,2,1.0,1.0,0,Cơ quan nào có thẩm quyền ký kết hợp đồng thực hiện đề tài khoa học và công nghệ cấp quốc gia trong Bộ Quốc phòng?
50974,fold_4,1,5,29,1.0,1.0,0,Kết luận thanh tra bao gồm những nội dung nào?
31244,fold_0,1,>100,22,1.0,1.0,0,Người lao động làm thêm giờ vào ban ngày trong dịp Tết Âm lịch được trả lương như thế nào?
71370,fold_1,1,12,7,1.0,1.0,0,Thành viên công ty trách nhiệm hữu hạn sử dụng phần vốn góp để trả nợ thì người nhận thanh toán có quyền chuyển nhượng phần vốn góp hay không?
134910,fold_1,1,>100,2,1.0,1.0,0,Cơ quan nào có thẩm quyền phê duyệt phương án tạm giữ lại tiếp tục sử dụng đất?
112216,fold_3,1,3,2,1.0,1.0,0,Chi phí nộp hồ sơ dự thầu mua sắm theo hiệp định đối tác toàn diện và tiến bộ xuyên Thái Bình Dương là bao nhiêu?
53276,fold_4,1,2,5,1.0,1.0,0,Nộp hồ sơ xin cấp giấy phép tài nguyên nước cho cơ quan nào?
90696,fold_2,1,1,59,1.0,1.0,0,Vì sao chưa tăng lương hưu trong kỳ lương hưu tháng 7/2023?
67042,fold_1,1,1,1,1.0,1.0,0,"Trách nhiệm của Đơn vị vận hành hệ thống quản lý, giám sát thu phí đường bộ ra sao?"
2624,fold_3,1,1,2,1.0,1.0,0,So sánh hệ số lương của viên chức thư viện viên hạng IV và viên chức thư viện viên hạng III áp dụng từ 15/8/2022?
50596,fold_3,3,2,1,0.6666666666666666,0.6666666666666666,0,Đối tượng nào được miễn chi phí giám định trong tố tụng dân sự?
164194,fold_0,1,2,1,1.0,1.0,0,Những thông tin nào được cập nhật bổ sung vào Cơ sở dữ liệu quốc gia về xử lý vi phạm hành chính?
81728,fold_3,1,4,1,1.0,1.0,0,Ai là người đại diện theo pháp luật của Quỹ Nạn nhân chất độc da cam dioxin Việt Nam?
166366,fold_1,1,11,1,1.0,1.0,0,"Nội dung giám sát an toàn vĩ mô đối với hệ thống các tổ chức tín dụng, chi nhánh ngân hàng nước ngoài?"
25956,fold_3,1,18,3,1.0,1.0,0,Xử phạt đối với những hành vi “vô văn hóa” trên mạng xã hội?
51420,fold_4,1,44,14,1.0,1.0,0,Thời hiệu xử phạt vi phạm hành chính đối với doanh nghiệp tư nhân mua phần vốn góp trong công ty hợp danh là bao lâu?
86284,fold_3,1,11,4,1.0,1.0,0,Thủ tục đổi lại bằng lái xe B2 như thế nào?
66664,fold_4,1,2,6,1.0,1.0,0,Nội dung lấy ý kiến dự thảo Luật Đất đai tương ứng với từng nhóm đối tượng là gì?
4096,fold_0,1,2,99,1.0,1.0,0,"Nội dung công tác quản lý, bảo dưỡng thường xuyên đường thủy nội địa gồm những gì?"
25436,fold_0,2,68,8,1.0,1.0,0,"Hồ sơ, thủ tục miễn thuế thu nhập cá nhân với đất tặng cho được quy định như thế nào?"
120914,fold_1,1,32,67,1.0,1.0,0,Thực nghiệm chữa cháy bằng bình chữa cháy như thế nào?
81386,fold_2,1,1,5,1.0,1.0,0,Hội đồng sơ tuyển khi xét thăng hạng viên chức trong cơ quan của Đảng sẽ có trách nhiệm gì?
89110,fold_0,1,38,1,1.0,1.0,0,Chi cục Kiểm lâm có thẩm quyền ra quyết định khởi tố bị can không?
153428,fold_4,1,1,2,1.0,1.0,0,"Thủ tục đề nghị tái xuất lô vị thuốc cổ truyền, thuốc cổ truyền bị thu hồi được thực hiện như thế nào?"
124954,fold_3,1,36,>100,1.0,1.0,0,Trình tự bổ nhiệm Thẩm phán Tòa án nhân dân tối cao quy định như thế nào?
44286,fold_2,1,2,1,1.0,1.0,0,Kế hoạch bảo trì công trình đường sắt hàng năm gồm những nội dung gì?
24824,fold_4,1,1,60,1.0,1.0,0,Một số hoạt động của Dân quân tự vệ theo quy định pháp luật hiện nay được quy định thế nào?
124514,fold_2,1,19,78,1.0,1.0,0,Cách lấy mẫu sản phẩm xử lý môi trường nuôi trồng thủy sản ra sao?
162506,fold_2,2,5,5,1.0,1.0,0,Nhân viên y tế trường học được hưởng phụ cấp ưu đãi nghề theo Nghị định 76 thì có được hưởng thêm phụ cấp quy định tại Nghị định 56 nữa không?
13252,fold_3,1,2,1,1.0,1.0,0,Người thừa kế theo di chúc chết trước người lập di chúc thì giải quyết như thế nào?
15338,fold_2,1,14,5,1.0,1.0,0,Chu kỳ đánh giá tổ chức kiểm định chất lượng giáo dục trong nước là bao lâu?
51658,fold_0,1,18,8,1.0,1.0,0,Tội hiếp dâm trẻ dưới 16 tuổi được quy định như thế nào?
124642,fold_1,1,1,51,1.0,1.0,0,Người nhận con nuôi phải có đủ những điều kiện gì?
34748,fold_1,3,18,44,0.6666666666666666,0.6666666666666666,0,Mức lương của giáo viên tại các cơ sở giáo dục công lập sẽ là bao nhiêu khi tăng mức lương cơ sở?
137840,fold_0,2,1,>100,0.5,0.5,0,Ai được xem là người phụ thuộc để tính giảm trừ gia cảnh?
1750,fold_1,1,68,3,1.0,1.0,0,Khi nào có thể yêu cầu tòa tuyên bố một người mất tích?
91878,fold_0,1,>100,2,1.0,1.0,0,Điều kiện hưởng chế độ ốm đau theo quy định pháp luật
10104,fold_2,1,3,1,1.0,1.0,0,"Hồ sơ đề nghị công nhận doanh nghiệp trực tiếp phục vụ quốc phòng, an ninh gồm những gì?"
88392,fold_1,1,33,4,1.0,1.0,0,Nếu bên thuê tài sản trả tiền một lần cho nhiều năm thì người cho thuê khai thuế thu nhập cá nhân thế nào?
101290,fold_2,2,11,1,1.0,1.0,0,"Yêu cầu kiểm soát hàng hóa xuất khẩu, nhập khẩu liên quan đến quyền tác giả, quyền liên quan sẽ gửi đến cơ quan nào?"
73982,fold_0,1,1,1,1.0,1.0,0,Ngân hàng thương mại được cấp Giấy chứng nhận đăng ký hoạt động lưu ký chứng khoán nhưng không thực hiện đăng ký thành viên lưu ký bị xử phạt vi phạm hành chính như thế nào?
155310,fold_1,1,7,1,1.0,1.0,0,Phải gia hạn bằng độc quyền kiểu dáng công nghiệp trước bao lâu?
18862,fold_0,1,11,4,1.0,1.0,0,Danh sách ưu tiên trong thẩm định an toàn thực phẩm thủy sản xuất khẩu là gì?
55934,fold_0,1,1,1,1.0,1.0,0,Doanh nghiệp ký kết hợp đồng Kinh doanh Quản lý thuộc dự án PPP có phải thực hiện biện pháp bảo đảm thực hiện hợp đồng không?
22402,fold_1,1,1,2,1.0,1.0,0,Thành phần Đoàn điều tra tai nạn lao động cấp cơ sở trong Bộ Quốc phòng gồm những ai?
79688,fold_4,1,5,6,1.0,1.0,0,Hồ sơ xét tặng “Bằng khen của Thủ tướng Chính phủ” gồm những gì?
125452,fold_0,1,1,1,1.0,1.0,0,Ban Chấp hành Hiệp hội Sản xuất Kinh doanh thuốc thú y Việt Nam có bao nhiêu thành viên?
92194,fold_2,1,32,4,1.0,1.0,0,Ủy ban Thẩm phán Tòa án quân sự trung ương gồm có những ai?
12246,fold_3,1,2,1,1.0,1.0,0,Người thực hiện thủ thuật bó bột Minerve phải có bước chuẩn bị như thế nào?
13348,fold_1,1,10,2,1.0,1.0,0,Hồ sơ đề nghị cấp Giấy chứng nhận đăng ký cảng hàng không tạm thời đối với cảng đang trong quá trình xây dựng cần những giấy tờ gì?
18794,fold_2,1,5,5,1.0,1.0,0,Ai có thẩm quyền quyết định mua sắm tài sản công phục vụ hoạt động của cơ quan nhà nước?
107694,fold_3,1,5,39,1.0,1.0,0,Nếu thời gian phục vụ của viên chức quốc phòng còn 11 năm thì thời hạn sử dụng Chứng minh viên chức quốc phòng quy định ra sao?
63298,fold_3,1,1,4,1.0,1.0,0,"Khách hàng cần đáp ứng các điều kiện gì để được tổ chức tín dụng, chi nhánh ngân hàng nước ngoài xem xét, quyết định cấp bảo lãnh?"
123044,fold_2,1,13,2,1.0,1.0,0,"Hồ sơ đề nghị cho phép cơ sở khám bệnh, chữa bệnh áp dụng kỹ thuật, phương pháp mới bao gồm những gì?"
97402,fold_1,1,1,1,1.0,1.0,0,Chính phủ có quy định nào về việc quản lý nguồn vốn vay ODA hay không?
36414,fold_1,1,24,1,1.0,1.0,0,Phó Chủ tịch Hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia phải đáp ứng những tiêu chuẩn gì?
21910,fold_1,1,>100,30,1.0,1.0,0,Trình tự cấp chứng chỉ năng lực hoạt động xây dựng cấp cho công ty tư vấn và xây lắp mới thành lập như thế nào?
100176,fold_4,1,1,1,1.0,1.0,0,Chương trình liên hoan văn nghệ quần chúng được tổ chức ở bao nhiêu cấp?
62998,fold_3,1,>100,15,1.0,1.0,0,"Trong trường hợp sẽ chuyển hồ sơ vụ việc có dấu hiệu tội phạm sang Cơ quan điều tra thì ai sẽ thực hiện việc tập hợp hồ sơ, tài liệu?"
160684,fold_3,1,1,14,1.0,1.0,0,Thực hiện phân công nhiệm vụ kiểm tra điều lệnh Công an nhân dân như thế nào?
126050,fold_0,1,>100,11,1.0,1.0,0,Để được cấp Giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản thì cơ sở phải đáp ứng những điều kiện gì?
29794,fold_0,1,21,1,1.0,1.0,0,Tổ chức muốn đăng ký tham gia nhiệm vụ thuộc Dự án Nâng cao năng suất và chất lượng sản phẩm hàng hóa ngành công nghiệp thì hồ sơ đăng ký tuyển chọn trực tiếp gồm những gì?
142760,fold_2,1,9,5,1.0,1.0,0,Thời hạn giải quyết thủ tục hỗ trợ chi phí mai táng cho đối tượng bảo trợ xã hội là bao lâu?
93626,fold_1,1,10,2,1.0,1.0,0,Mức xử phạt đối với kinh doanh vận tải không lắp camera trên xe?
59868,fold_1,1,21,1,1.0,1.0,0,"Ai có trách nhiệm thẩm định, phê duyệt hồ sơ mời sơ tuyển đối với đối với dự án PPP?"
46046,fold_4,1,13,>100,1.0,1.0,0,Ai có thẩm quyền bổ nhiệm Tổng biên tập Thời báo Ngân hàng?
81636,fold_3,1,25,1,1.0,1.0,0,"Cách ghi thành phần dinh dưỡng, giá trị dinh dưỡng"
90028,fold_3,4,14,76,0.25,0.25,0,Xem xét ban hành Nghị quyết mở rộng diện áp dụng miễn thị thực đơn phương theo yêu cầu của Chính Phủ đúng không?
135756,fold_4,1,1,74,1.0,1.0,0,"Cấp Giấy phép vận chuyển hàng hóa nguy hiểm loại 5, loại 8 thuộc thẩm quyền của cơ quan nào?"
104760,fold_4,1,43,4,1.0,1.0,0,Bệnh gan tụy do Parvovirus ở tôm thường được chẩn đoán bằng những loại thuốc thử và vật liệu thử nào?
155580,fold_0,1,1,>100,1.0,1.0,0,Thanh tra viên cao cấp Công an nhân dân cần đáp ứng đủ các tiêu chuẩn gì về năng lực?
91472,fold_3,1,8,48,1.0,1.0,0,"Phòng Tư pháp huyện, quận, thị xã, thành phố thuộc tỉnh có được chứng thực các loại hợp đồng đặt cọc đất không?"
81104,fold_3,1,1,>100,1.0,1.0,0,Xe mô tô sử dụng để khai thác tài nguyên trái phép có bị tịch thu không?
72246,fold_3,1,61,5,1.0,1.0,0,Trong thời gian mang tài liệu bí mật Nhà nước ra khỏi nơi lưu giữ nếu phát hiện bí mật Nhà nước bị lộ thì người mang tài liệu có trách nhiệm gì?
32298,fold_3,1,1,33,1.0,1.0,0,Nhiệm vụ của Hội Kinh tế xây dựng Việt Nam là gì?
78756,fold_1,1,21,29,1.0,1.0,0,"Bảo đảm hoạt động của hệ thống thông tin, cơ sở dữ liệu môi trường các cấp"
92190,fold_4,1,10,36,1.0,1.0,0,Chồng có được tự ý bán mảnh đất cho người khác khi chưa có ý kiến của vợ không?
124912,fold_0,1,1,8,1.0,1.0,0,Cơ quan thi hành án khi ra quyết định cưỡng chế thi hành án dân sự trong Quân đội có được tạm ứng kinh phí để tổ chức cưỡng chế không?
65620,fold_1,1,15,63,1.0,1.0,0,Cung cấp những thông tin gì khi yêu cầu lập hóa đơn điện tử?
146152,fold_3,1,1,12,1.0,1.0,0,Kiểm sát viên VKSND tối cao khi không giữ chức vụ lãnh đạo và tiếp tục thực hiện nhiệm vụ của Kiểm sát viên thực hiện chế độ làm việc như thế nào?
23112,fold_3,1,2,60,1.0,1.0,0,Kỳ tính thuế TNDN được xác định theo năm dương lịch hay năm tài chính?
156506,fold_2,1,1,2,1.0,1.0,0,Quỹ Phát triển khoa học và công nghệ Bộ Quốc phòng có con dấu riêng không?
