qid,question,answer_size,max_gold_frequency,nearest_embedding_cosine,nearest_qid,word_count
125146,Người bán cần làm gì để đăng ký sử dụng hóa đơn điện tử được khởi tạo từ máy tính kết nối chuyển dữ liệu điện tử?,1,21,0.8445221185684204,49570,27
52852,Phẫu thuật gỡ dính thần kinh che phủ chống chỉ định cho những trường hợp nào?,1,15,0.56916344165802,81812,16
85256,Chứng chỉ năng lực hoạt động xây dựng có bắt buộc đối với tổ chức khi tham gia hoạt động xây dựng không?,1,23,0.7187011241912842,8878,23
110422,Quy trình trao tặng Huân chương Quân công hạng ba trong Quân đội nhân dân Việt Nam được như thế nào?,1,9,0.709186851978302,25526,21
147836,Đăng ký sang tên xe đối với trường hợp xe đã chuyển quyền sở hữu qua nhiều người như thế nào?,1,12,0.8079981207847595,52082,21
34800,Biên tập kỹ thuật bản đồ hành chính các cấp xây dựng kế hoạch biên tập chi tiết như thế nào?,1,2,0.5910491347312927,125122,21
89574,Cơ sở sản xuất phải nộp báo cáo hoạt động và việc duy trì đáp ứng GMP khi nào?,1,1,0.4622059762477875,3762,19
128146,"Khu vực sơ chế, chế biến vị thuốc cổ truyền theo phương pháp cổ truyền được pháp luật quy định như thế nào?",1,3,0.9999999403953552,61406,23
10720,"Tài xế điều khiển xe tải cá nhân gia nhập hợp tác xã để vận chuyển thanh long nhưng đã hết hạn đăng kiểm 15 ngày, bị giam bằng lái 2 tháng có đúng không?",1,64,0.582943320274353,105518,35
64384,Cơ quan nào có thẩm quyền ký kết hợp đồng thực hiện đề tài khoa học và công nghệ cấp quốc gia trong Bộ Quốc phòng?,1,1,0.6259122490882874,56174,26
50974,Kết luận thanh tra bao gồm những nội dung nào?,1,12,0.8473365902900696,163900,10
31244,Người lao động làm thêm giờ vào ban ngày trong dịp Tết Âm lịch được trả lương như thế nào?,1,108,0.790604829788208,12758,20
71370,Thành viên công ty trách nhiệm hữu hạn sử dụng phần vốn góp để trả nợ thì người nhận thanh toán có quyền chuyển nhượng phần vốn góp hay không?,1,58,0.7023505568504333,6038,30
134910,Cơ quan nào có thẩm quyền phê duyệt phương án tạm giữ lại tiếp tục sử dụng đất?,1,2,0.4611266553401947,66444,18
112216,Chi phí nộp hồ sơ dự thầu mua sắm theo hiệp định đối tác toàn diện và tiến bộ xuyên Thái Bình Dương là bao nhiêu?,1,2,0.6753963232040405,129014,26
53276,Nộp hồ sơ xin cấp giấy phép tài nguyên nước cho cơ quan nào?,1,3,0.7750954031944275,123418,14
90696,Vì sao chưa tăng lương hưu trong kỳ lương hưu tháng 7/2023?,1,1,0.5745927095413208,23760,12
67042,"Trách nhiệm của Đơn vị vận hành hệ thống quản lý, giám sát thu phí đường bộ ra sao?",1,2,0.6583792567253113,148494,19
2624,So sánh hệ số lương của viên chức thư viện viên hạng IV và viên chức thư viện viên hạng III áp dụng từ 15/8/2022?,1,4,0.7266227006912231,103494,25
50596,Đối tượng nào được miễn chi phí giám định trong tố tụng dân sự?,3,45,0.6838675141334534,36360,14
164194,Những thông tin nào được cập nhật bổ sung vào Cơ sở dữ liệu quốc gia về xử lý vi phạm hành chính?,1,2,0.6690652370452881,23774,23
81728,Ai là người đại diện theo pháp luật của Quỹ Nạn nhân chất độc da cam dioxin Việt Nam?,1,1,0.5604668855667114,147712,19
166366,"Nội dung giám sát an toàn vĩ mô đối với hệ thống các tổ chức tín dụng, chi nhánh ngân hàng nước ngoài?",1,2,0.557745099067688,54088,23
25956,Xử phạt đối với những hành vi “vô văn hóa” trên mạng xã hội?,1,12,0.5961092710494995,75708,14
51420,Thời hiệu xử phạt vi phạm hành chính đối với doanh nghiệp tư nhân mua phần vốn góp trong công ty hợp danh là bao lâu?,1,6,0.5300322771072388,50808,26
86284,Thủ tục đổi lại bằng lái xe B2 như thế nào?,1,15,0.6973837018013,134980,11
66664,Nội dung lấy ý kiến dự thảo Luật Đất đai tương ứng với từng nhóm đối tượng là gì?,1,3,0.9023105502128601,158958,19
4096,"Nội dung công tác quản lý, bảo dưỡng thường xuyên đường thủy nội địa gồm những gì?",1,1,0.5484733581542969,83174,17
25436,"Hồ sơ, thủ tục miễn thuế thu nhập cá nhân với đất tặng cho được quy định như thế nào?",2,11,0.6994222402572632,16408,20
120914,Thực nghiệm chữa cháy bằng bình chữa cháy như thế nào?,1,2,0.6473318934440613,92150,11
81386,Hội đồng sơ tuyển khi xét thăng hạng viên chức trong cơ quan của Đảng sẽ có trách nhiệm gì?,1,1,0.6956889629364014,39172,20
89110,Chi cục Kiểm lâm có thẩm quyền ra quyết định khởi tố bị can không?,1,4,0.5591738224029541,79124,15
153428,"Thủ tục đề nghị tái xuất lô vị thuốc cổ truyền, thuốc cổ truyền bị thu hồi được thực hiện như thế nào?",1,3,0.8826943635940552,5118,23
124954,Trình tự bổ nhiệm Thẩm phán Tòa án nhân dân tối cao quy định như thế nào?,1,17,0.7234455943107605,4644,17
44286,Kế hoạch bảo trì công trình đường sắt hàng năm gồm những nội dung gì?,1,3,0.8325209617614746,88618,15
24824,Một số hoạt động của Dân quân tự vệ theo quy định pháp luật hiện nay được quy định thế nào?,1,5,0.7836257219314575,160660,21
124514,Cách lấy mẫu sản phẩm xử lý môi trường nuôi trồng thủy sản ra sao?,1,1,0.7091126441955566,133692,15
162506,Nhân viên y tế trường học được hưởng phụ cấp ưu đãi nghề theo Nghị định 76 thì có được hưởng thêm phụ cấp quy định tại Nghị định 56 nữa không?,2,12,0.5516587495803833,156178,32
13252,Người thừa kế theo di chúc chết trước người lập di chúc thì giải quyết như thế nào?,1,90,0.7613435983657837,131558,18
15338,Chu kỳ đánh giá tổ chức kiểm định chất lượng giáo dục trong nước là bao lâu?,1,2,0.8034321069717407,107566,17
51658,Tội hiếp dâm trẻ dưới 16 tuổi được quy định như thế nào?,1,109,0.7406947612762451,165224,13
124642,Người nhận con nuôi phải có đủ những điều kiện gì?,1,11,0.8868423104286194,89402,11
34748,Mức lương của giáo viên tại các cơ sở giáo dục công lập sẽ là bao nhiêu khi tăng mức lương cơ sở?,3,12,0.7069100141525269,156428,23
137840,Ai được xem là người phụ thuộc để tính giảm trừ gia cảnh?,2,12,0.7989071011543274,6222,13
1750,Khi nào có thể yêu cầu tòa tuyên bố một người mất tích?,1,90,0.876421332359314,19104,13
91878,Điều kiện hưởng chế độ ốm đau theo quy định pháp luật,1,65,0.9144442677497864,137680,12
10104,"Hồ sơ đề nghị công nhận doanh nghiệp trực tiếp phục vụ quốc phòng, an ninh gồm những gì?",1,2,0.7029016017913818,90114,19
88392,Nếu bên thuê tài sản trả tiền một lần cho nhiều năm thì người cho thuê khai thuế thu nhập cá nhân thế nào?,1,8,0.6122363209724426,125004,24
101290,"Yêu cầu kiểm soát hàng hóa xuất khẩu, nhập khẩu liên quan đến quyền tác giả, quyền liên quan sẽ gửi đến cơ quan nào?",2,8,0.6354566812515259,149138,25
73982,Ngân hàng thương mại được cấp Giấy chứng nhận đăng ký hoạt động lưu ký chứng khoán nhưng không thực hiện đăng ký thành viên lưu ký bị xử phạt vi phạm hành chính như thế nào?,1,2,0.8240747451782227,168504,37
155310,Phải gia hạn bằng độc quyền kiểu dáng công nghiệp trước bao lâu?,1,5,0.6036928296089172,117096,13
18862,Danh sách ưu tiên trong thẩm định an toàn thực phẩm thủy sản xuất khẩu là gì?,1,2,0.5564916729927063,40336,17
55934,Doanh nghiệp ký kết hợp đồng Kinh doanh Quản lý thuộc dự án PPP có phải thực hiện biện pháp bảo đảm thực hiện hợp đồng không?,1,10,0.5528169870376587,85434,27
22402,Thành phần Đoàn điều tra tai nạn lao động cấp cơ sở trong Bộ Quốc phòng gồm những ai?,1,1,0.5947989225387573,106298,19
79688,Hồ sơ xét tặng “Bằng khen của Thủ tướng Chính phủ” gồm những gì?,1,11,0.675691545009613,65272,14
125452,Ban Chấp hành Hiệp hội Sản xuất Kinh doanh thuốc thú y Việt Nam có bao nhiêu thành viên?,1,1,0.5580238699913025,149958,19
92194,Ủy ban Thẩm phán Tòa án quân sự trung ương gồm có những ai?,1,17,0.7878056168556213,165854,14
12246,Người thực hiện thủ thuật bó bột Minerve phải có bước chuẩn bị như thế nào?,1,5,0.46724438667297363,86678,16
13348,Hồ sơ đề nghị cấp Giấy chứng nhận đăng ký cảng hàng không tạm thời đối với cảng đang trong quá trình xây dựng cần những giấy tờ gì?,1,4,0.656676173210144,152242,29
18794,Ai có thẩm quyền quyết định mua sắm tài sản công phục vụ hoạt động của cơ quan nhà nước?,1,9,0.6792696714401245,56314,20
107694,Nếu thời gian phục vụ của viên chức quốc phòng còn 11 năm thì thời hạn sử dụng Chứng minh viên chức quốc phòng quy định ra sao?,1,4,0.6907059550285339,9394,28
63298,"Khách hàng cần đáp ứng các điều kiện gì để được tổ chức tín dụng, chi nhánh ngân hàng nước ngoài xem xét, quyết định cấp bảo lãnh?",1,2,0.6592761874198914,127534,28
123044,"Hồ sơ đề nghị cho phép cơ sở khám bệnh, chữa bệnh áp dụng kỹ thuật, phương pháp mới bao gồm những gì?",1,8,0.6969910264015198,86134,23
97402,Chính phủ có quy định nào về việc quản lý nguồn vốn vay ODA hay không?,1,1,0.7500826716423035,47396,16
36414,Phó Chủ tịch Hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia phải đáp ứng những tiêu chuẩn gì?,1,6,0.705451250076294,6,23
21910,Trình tự cấp chứng chỉ năng lực hoạt động xây dựng cấp cho công ty tư vấn và xây lắp mới thành lập như thế nào?,1,23,0.8980197906494141,8878,26
100176,Chương trình liên hoan văn nghệ quần chúng được tổ chức ở bao nhiêu cấp?,1,1,0.6649991273880005,162560,15
62998,"Trong trường hợp sẽ chuyển hồ sơ vụ việc có dấu hiệu tội phạm sang Cơ quan điều tra thì ai sẽ thực hiện việc tập hợp hồ sơ, tài liệu?",1,6,0.635445773601532,55916,31
160684,Thực hiện phân công nhiệm vụ kiểm tra điều lệnh Công an nhân dân như thế nào?,1,1,0.6770355701446533,77434,17
126050,Để được cấp Giấy chứng nhận cơ sở đủ điều kiện sản xuất thức ăn thủy sản thì cơ sở phải đáp ứng những điều kiện gì?,1,11,0.6849414110183716,40336,27
29794,Tổ chức muốn đăng ký tham gia nhiệm vụ thuộc Dự án Nâng cao năng suất và chất lượng sản phẩm hàng hóa ngành công nghiệp thì hồ sơ đăng ký tuyển chọn trực tiếp gồm những gì?,1,1,0.7276833057403564,91826,38
142760,Thời hạn giải quyết thủ tục hỗ trợ chi phí mai táng cho đối tượng bảo trợ xã hội là bao lâu?,1,2,0.8143644332885742,62974,22
93626,Mức xử phạt đối với kinh doanh vận tải không lắp camera trên xe?,1,64,0.7492792010307312,120316,14
59868,"Ai có trách nhiệm thẩm định, phê duyệt hồ sơ mời sơ tuyển đối với đối với dự án PPP?",1,3,0.6269023418426514,47398,20
46046,Ai có thẩm quyền bổ nhiệm Tổng biên tập Thời báo Ngân hàng?,1,1,0.5283328294754028,31570,13
81636,"Cách ghi thành phần dinh dưỡng, giá trị dinh dưỡng",1,2,0.6348868012428284,14554,10
90028,Xem xét ban hành Nghị quyết mở rộng diện áp dụng miễn thị thực đơn phương theo yêu cầu của Chính Phủ đúng không?,4,1,0.5084531903266907,50274,24
135756,"Cấp Giấy phép vận chuyển hàng hóa nguy hiểm loại 5, loại 8 thuộc thẩm quyền của cơ quan nào?",1,1,0.4976429045200348,110936,20
104760,Bệnh gan tụy do Parvovirus ở tôm thường được chẩn đoán bằng những loại thuốc thử và vật liệu thử nào?,1,1,0.5753853917121887,145468,21
155580,Thanh tra viên cao cấp Công an nhân dân cần đáp ứng đủ các tiêu chuẩn gì về năng lực?,1,4,0.9019901752471924,82798,20
91472,"Phòng Tư pháp huyện, quận, thị xã, thành phố thuộc tỉnh có được chứng thực các loại hợp đồng đặt cọc đất không?",1,12,0.6071903109550476,28532,23
81104,Xe mô tô sử dụng để khai thác tài nguyên trái phép có bị tịch thu không?,1,7,0.6648622155189514,62802,17
72246,Trong thời gian mang tài liệu bí mật Nhà nước ra khỏi nơi lưu giữ nếu phát hiện bí mật Nhà nước bị lộ thì người mang tài liệu có trách nhiệm gì?,1,1,0.9040098190307617,70924,33
32298,Nhiệm vụ của Hội Kinh tế xây dựng Việt Nam là gì?,1,2,0.8488780856132507,155178,12
78756,"Bảo đảm hoạt động của hệ thống thông tin, cơ sở dữ liệu môi trường các cấp",1,12,0.7519562244415283,162990,17
92190,Chồng có được tự ý bán mảnh đất cho người khác khi chưa có ý kiến của vợ không?,1,45,0.7442668676376343,63664,19
124912,Cơ quan thi hành án khi ra quyết định cưỡng chế thi hành án dân sự trong Quân đội có được tạm ứng kinh phí để tổ chức cưỡng chế không?,1,1,0.5599535703659058,80538,31
65620,Cung cấp những thông tin gì khi yêu cầu lập hóa đơn điện tử?,1,21,0.8160669803619385,118564,14
146152,Kiểm sát viên VKSND tối cao khi không giữ chức vụ lãnh đạo và tiếp tục thực hiện nhiệm vụ của Kiểm sát viên thực hiện chế độ làm việc như thế nào?,1,2,0.7942734360694885,76714,33
23112,Kỳ tính thuế TNDN được xác định theo năm dương lịch hay năm tài chính?,1,2,0.7631860971450806,146102,15
156506,Quỹ Phát triển khoa học và công nghệ Bộ Quốc phòng có con dấu riêng không?,1,4,0.6901402473449707,87320,16
29404,Việc thực hiện các giải pháp phòng chống quấy rối tình dục tại nơi làm việc là trách nhiệm của ai?,1,108,0.7677297592163086,48980,21
54564,Thủ tục mua chứng từ khấu trừ thuế TNCN được thực hiện thế nào?,3,21,0.4914890229701996,54496,14
160860,Yêu cầu cụ thể đối với tiêu chí “Có cụm ngành nghề nông thôn” như thế nào?,1,1,0.4762710928916931,156874,17
62052,Hoạt động bảo vệ cây xanh đô thị được quy định như thế nào?,1,1,0.5613155961036682,74502,14
81590,Phân biệt tài khoản thanh toán của ngân hàng doanh nghiệp tư nhân và tài khoản ngân hàng của chủ doanh nghiệp tư nhân ra sao?,1,14,0.5591121912002563,44136,26
76384,Bộ Tài nguyên và Môi trường có trách nhiệm xây dựng khung giá đất bao nhiêu năm một lần?,1,2,0.6325833797454834,165538,19
93868,Hiệu lệnh dừng phương tiện giao thông của Cảnh sát giao thông gồm có những hiệu lệnh nào?,1,10,0.9197066426277161,110848,18
157752,"Thời hạn cấp thẻ, dấu kỹ thuật đăng kiểm viên tàu cá là bao lâu?",2,3,0.7402681708335876,23662,15
157958,Khi kiểm sát việc tuân theo pháp luật trong giai đoạn xét xử sơ thẩm vụ án hình sự Kiểm sát viên đề nghị hoãn phiên tòa trong những trường hợp nào?,1,74,0.7147085666656494,72416,32
135112,"Quy định về nội dung bản tin dự báo, cảnh báo khí tượng thủy văn?",1,1,0.6108131408691406,91850,15
