qid_a,qid_b,embedding_cosine,lexical_cosine,same_strict_text,same_punctuation_text,same_accent_text,gold_overlap_count,gold_jaccard,question_a,question_b
136920,62420,0.9761059880256653,0.8311488628387451,0,0,0,1,1.0,"Những yêu cầu chung đối với cơ sở sản xuất kinh doanh thủy sản trong việc đảm bảo an toàn vệ sinh khi sơ chế, chế biến thuỷ sản?","Cơ sở sản xuất kinh doanh thủy sản cần phải đáp ứng những điều kiện gì để đảm bảo an toàn vệ sinh trong sơ chế, chế biến thuỷ sản?"
70140,47540,0.9758520126342773,0.7176405191421509,0,0,0,0,0.0,Thẩm quyền đăng ký việc nuôi con nuôi được quy định ra sao?,Cơ quan nào có thẩm quyền đăng ký nuôi con nuôi?
114984,37946,0.9754174947738647,0.9671409130096436,0,0,0,1,1.0,Điểm liệt thi tốt nghiệp THPT năm 2023 là bao nhiêu?,Điểm liệt của kỳ thi tốt nghiệp THPT năm 2023 là bao nhiêu?
69582,155412,0.974961519241333,0.6732659339904785,0,0,0,1,1.0,Hợp đồng lao động được quy định như thế nào?,Quy định của pháp luật về hợp đồng lao động
43062,16988,0.9738928079605103,0.8650475740432739,0,0,0,1,1.0,Nhiệm vụ của Ban Nữ công Tổng Liên đoàn lao động Việt Nam là gì?,Ban Nữ công Tổng Liên đoàn lao động Việt Nam có trách nhiệm như thế nào?
41338,69586,0.9730594754219055,0.8939532041549683,0,0,0,1,1.0,"Nhiệm vụ, quyền hạn của Chủ tịch UBND xã ra sao?","Nhiệm vụ, quyền hạn của Chủ tịch UBND cấp xã là gì?"
110550,91076,0.9687933325767517,0.7671099901199341,0,0,0,1,1.0,Nhiệm vụ của Hội Kiến trúc sư Việt Nam được quy định thế nào?,Mục đích hoạt động của Hội Kiến trúc sư Việt Nam được quy định thế nào?
5584,127766,0.9687689542770386,0.9104769825935364,0,0,0,1,1.0,Thẩm quyền kỷ luật viên chức thuộc về ai?,Thẩm quyền xử lý kỷ luật đối với viên chức thuộc về ai?
23402,109002,0.9685214161872864,0.6664350628852844,0,0,0,1,0.5,Trường hợp nào mà doanh nghiệp không cần phải bố trí kế toán trưởng?,Doanh nghiệp có bắt buộc phải bố trí kế toán trưởng hay không?
99592,152698,0.9676988124847412,0.7200820446014404,0,0,0,1,1.0,Quyền hạn của Hội Sinh vật cảnh Việt Nam được quy định như thế nào?,Nhiệm vụ của Hội Sinh vật cảnh Việt Nam là gì?
69582,694,0.9675012826919556,0.7090622782707214,0,0,0,1,1.0,Hợp đồng lao động được quy định như thế nào?,Hợp đồng lao động là gì?
117908,66240,0.9673702120780945,0.9676998853683472,0,0,0,1,1.0,Quy trình thực hành chuẩn của Hội đồng đạo đức trong nghiên cứu y sinh học cấp quốc gia cần xác định khoảng thời gian tài liệu phải được lưu trữ là bao lâu?,Quy trình thực hành chuẩn của Hội đồng đạo đức trong nghiên cứu y sinh học cấp cơ sở cần xác định khoảng thời gian tài liệu phải được lưu trữ là bao lâu?
110790,14762,0.9665635228157043,0.7891637682914734,0,0,0,1,1.0,"Làm sao để kéo dài thời gian nghỉ lễ giỗ tổ Hùng Vương, 30/4 và 01/5 năm 2023?","Cách kéo dài thời gian nghỉ lễ Giỗ Tổ Hùng Vương, 30/4 và 1/5 năm 2023 theo quy định hiện hành?"
134210,167226,0.9640488624572754,0.8599865436553955,0,0,0,1,1.0,"Hội đồng tư vấn cấp chứng chỉ hành nghề khám bệnh, chữa bệnh của Bộ Y tế gồm có bao nhiêu Tiểu ban?","Các Tiểu ban trong Hội đồng tư vấn cấp chứng chỉ hành nghề khám bệnh, chữa bệnh của Bộ Y tế được quy định thế nào?"
4604,157104,0.9629229307174683,0.9547779560089111,0,0,0,1,1.0,Nguyên tắc phân định thẩm quyền của chính quyền địa phương thực hiện trên cơ sở nào?,Việc phân định thẩm quyền của chính quyền địa phương được thực hiện trên cơ sở các nguyên tắc nào?
167870,155258,0.9627906680107117,0.740214467048645,0,0,0,0,0.0,Đối tượng nào được tham gia bảo hiểm xã hội tự nguyện?,Đối tượng tham gia đóng bảo hiểm xã hội tự nguyện là ai?
125618,140508,0.9627435207366943,0.827765703201294,0,0,0,1,1.0,Việc mở cửa xe ô tô được quy định như thế nào?,Quy định về mở cửa xe ô tô
136494,153558,0.9624578952789307,0.7799670100212097,0,0,0,1,1.0,Pháp luật quy định về nhiệm vụ và quyền hạn của hội đồng kiểm tra kết quả tập sự hành nghề luật sư như thế nào?,Hội đồng kiểm tra kết quả tập sự hành nghề luật sư là gì?
154042,19874,0.9608480930328369,0.8757137060165405,0,0,0,1,1.0,"Cảnh sát giao thông có nhiệm vụ gì trong việc tuần tra, kiểm soát giao thông?","Nhiệm vụ của Cảnh sát giao thông trong tuần tra, kiểm soát được quy định như thế nào?"
154042,143660,0.9607098698616028,0.8757137060165405,0,0,0,1,1.0,"Cảnh sát giao thông có nhiệm vụ gì trong việc tuần tra, kiểm soát giao thông?","Nhiệm vụ của Cảnh sát giao thông trong tuần tra, kiểm soát được quy định như thế nào?"
7572,98634,0.9605843424797058,0.5741450786590576,0,0,0,1,0.3333333333333333,Nhà nước thu hồi đất được pháp luật quy định như thế nào?,Nhà nước thu hồi đất trong những trường hợp nào?
28432,62102,0.9602401256561279,0.7977241277694702,0,0,0,1,1.0,Hội đồng quản lý trong đơn vị sự nghiệp công lập thuộc ngành tài nguyên và môi trường làm việc dựa trên những nguyên tắc nào?,Hội đồng quản lý trong đơn vị sự nghiệp công lập thuộc ngành tài nguyên và môi trường có những nhiệm vụ và quyền hạn gì?
92080,47540,0.960149347782135,0.6769368052482605,0,0,0,1,0.5,Quy định về việc đăng ký nuôi con nuôi,Cơ quan nào có thẩm quyền đăng ký nuôi con nuôi?
76952,17308,0.9585767984390259,0.6722522974014282,0,0,0,1,1.0,Giấy phép xây dựng gồm những loại nào?,Có bao nhiêu loại giấy phép xây dựng?
152698,96172,0.9583616256713867,0.6955795884132385,0,0,0,1,1.0,Nhiệm vụ của Hội Sinh vật cảnh Việt Nam là gì?,Nguyên tắc tổ chức và hoạt động của Hội Sinh vật cảnh Việt Nam là gì?
73662,31760,0.9577457308769226,0.7562937140464783,0,0,0,1,1.0,Nhiệm vụ và quyền hạn của hiệu trưởng cơ sở giáo dục đại học được quy định như thế nào?,Trách nhiệm của hiệu trưởng cơ sở giáo dục đại học là gì?
156000,36592,0.9572840332984924,0.7322788238525391,0,0,0,1,1.0,Văn phòng Thừa phát lại có những quyền và nghĩa vụ như thế nào theo quy định hiện nay?,Các quyền và nghĩa vụ của Văn phòng Thừa phát lại được quy định ra sao?
25856,42484,0.9569646716117859,0.8769829273223877,0,0,0,1,1.0,Thủ tục công bố đủ điều kiện điều trị nghiện chất dạng thuốc phiện theo phương thức điện tử về Sở Y tế được quy định như thế nào?,Cơ sở lần đầu công bố đủ điều kiện điều trị nghiện chất dạng thuốc phiện theo phương thức điện tử về Sở Y tế thực hiện thủ tục ra sao?
99550,2938,0.9568897485733032,0.8359287977218628,0,0,0,1,1.0,Tiêu chuẩn của Phó Thủ tướng Chính phủ được quy định như thế nào?,Phó Thủ tướng Chính phủ phải đảm bảo những tiêu chuẩn như thế nào?
129318,48998,0.9559062719345093,0.8003718852996826,0,0,0,1,1.0,Công ty không cho người lao động nghỉ không hưởng lương thì sẽ bị xử phạt vi phạm hành chính thế nào?,Công ty không cho người lao động xin nghỉ không hưởng lương thì có bị phạt không?
63492,163864,0.955193042755127,0.6257797479629517,0,0,0,1,1.0,Người nước ngoài đang tạm trú ở Việt Nam thì phải khai báo tạm trú với cơ quan nào?,Thủ tục khai báo tạm trú cho người nước ngoài sinh sống tại Việt Nam thực hiện như thế nào?
95926,82702,0.9550395011901855,0.693777322769165,0,0,0,1,1.0,Điều kiện để được cấp giấy phép lái xe quốc tế là gì?,Thủ tục cấp giấy phép lái xe quốc tế được quy định như thế nào?
54478,135032,0.9543736577033997,0.771758496761322,0,0,0,1,1.0,Trường hợp khác được sử dụng ngoại tệ trên lãnh thổ Việt Nam?,Vậy trường hợp nào được sử dụng ngoại tệ trên lãnh thổ Việt Nam không?
146316,132024,0.9538692235946655,0.5553361177444458,0,0,0,1,1.0,"Viên chức được bổ nhiệm chức danh kiểm nghiệm viên thuốc thú y hạng 2 cần đáp ứng các tiêu chuẩn gì về trình độ đào tạo, bồi dưỡng?","Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ đối với viên chức giữ chức danh kiểm nghiệm viên thuốc thú y hạng 2?"
97420,90332,0.9537859559059143,0.6094072461128235,0,0,0,0,0.0,Đại lý bảo hiểm hoạt động theo những nguyên tắc nào?,Đại lý bảo hiểm là gì? Nội dung hoạt động đại lý bảo hiểm quy định như thế nào?
107868,40074,0.9531950354576111,0.788960337638855,0,0,0,0,0.0,Các trường hợp nào được xem là trường hợp bất khả kháng để điều chỉnh hợp đồng xây dựng?,Có được điều chỉnh hợp đồng xây dựng khi gặp các trường hợp bất khả kháng hay không?
133322,109350,0.953019380569458,0.18975438177585602,0,0,0,1,1.0,Khái niệm hợp đồng là gì?,Hợp đồng được quy định như thế nào trong pháp luật Việt Nam?
4446,112186,0.9528038501739502,0.6988246440887451,0,0,0,1,1.0,Vụ Kiểm toán nội bộ Ngân hàng nhà nước có trách nhiệm và quyền hạn gì trong hoạt động kiểm toán nội bộ Ngân hàng Nhà nước?,Nhiệm vụ của Vụ kiểm toán nội bộ Ngân hàng Nhà nước Việt Nam được quy định như thế nào?
123236,77918,0.9503443241119385,0.8563442826271057,0,0,0,1,1.0,Thay đổi quyền trực tiếp nuôi con sau ly hôn được quy định như thế nào?,Thay đổi người trực tiếp nuôi con sau khi ly hôn
154486,84426,0.9499772191047668,0.7294522523880005,0,0,0,1,1.0,Thực hiện phản ánh kiến nghị trên Cổng thông tin điện tử Bộ Nội vụ bằng cách nào?,Người dân có thể phản ánh kiến nghị về những nội dung gì trên Cổng thông tin điện tử Bộ Nội vụ?
63986,153138,0.9498034715652466,0.6489006876945496,0,0,0,1,1.0,Thẻ bảo hiểm y tế có chứa những thông tin gì?,Thẻ bảo hiểm y tế do cơ quan bảo hiểm xã hội phát hành bao gồm những thông tin gì?
92080,70140,0.9491565227508545,0.8460729718208313,0,0,0,1,0.5,Quy định về việc đăng ký nuôi con nuôi,Thẩm quyền đăng ký việc nuôi con nuôi được quy định ra sao?
47644,26528,0.9485662579536438,0.7568022012710571,0,0,0,1,1.0,Phương tiện đo được thương nhân xuất nhập khẩu khí sử dụng để xác định lượng khí trong mua bán cần bảo đảm yêu cầu gì?,"Phương tiện đo được sử dụng để xác định lượng khí trong mua bán, thương nhân sản xuất khí cần bảo đảm những quy định gì về đo lường?"
30844,24180,0.9474160075187683,0.8726640939712524,0,0,0,1,1.0,Việc phân chia di sản thừa kế theo pháp luật được thực hiện như thế nào?,Hàng thừa kế phân chia di sản theo pháp luật được quy định như thế nào?
20092,69444,0.9469413161277771,0.7541807889938354,0,0,0,0,0.0,Phó Chủ tịch Ủy ban nhân dân xã thực hiện những nhiệm vụ nào?,Phó Chủ tịch Hội đồng nhân dân xã có những nhiệm vụ chính nào?
37206,137970,0.9460663199424744,0.7603105306625366,0,0,0,1,1.0,Những sản phẩm nào không cần thực hiện thủ tục tự công bố sản phẩm?,"Trường hợp nào tổ chức, cá nhân không cần thực hiện thủ tục tự công bố sản phẩm?"
129298,159766,0.9459108114242554,0.7582506537437439,0,0,0,1,0.5,"Chức danh nghề nghiệp, hạng chức danh nghề nghiệp viên chức là gì?",Các chức danh nghề nghiệp viên chức gồm những gì?
54576,122532,0.9454570412635803,0.6640024781227112,0,0,0,1,1.0,Chia tài sản chung trong thời kỳ hôn nhân được quy định như thế nào?,Vợ chồng trong thời kỳ hôn nhân có thể chia tài sản chung thành tài sản riêng không?
18212,16294,0.9454432129859924,0.6844427585601807,0,0,0,1,1.0,"Giám định viên Hội đồng Giám định y khoa có nhiệm vụ, quyền hạn như thế nào?",Giám định viên Hội đồng Giám định y khoa phải đáp ứng tiêu chuẩn như thế nào?
16348,99948,0.9449152946472168,0.78517085313797,0,0,0,0,0.0,Doanh nghiệp quyết toán thuế thu nhập cá nhân giúp nhân viên trong trường hợp nào?,Quy trình quyết toán thuế thu nhập cá nhân do doanh nghiệp làm giúp nhân viên được quy định ra sao?
45804,139226,0.9447281956672668,0.6429261565208435,0,0,0,1,1.0,Những hành vi nào bị nghiêm cấm về bảo hiểm y tế?,Hành vi nào bị cấm trong lĩnh vực bảo hiểm y tế?
143202,111406,0.9442026019096375,0.844576358795166,0,0,0,1,1.0,Mẫu phiếu công tác chính thức ngoài nước cho Đảng viên mới nhất 2022?,Mẫu phiếu công tác tạm thời ngoài nước dành cho Đảng viên mới nhất 2022?
694,155412,0.9438499212265015,0.6263480186462402,0,0,0,1,1.0,Hợp đồng lao động là gì?,Quy định của pháp luật về hợp đồng lao động
12706,2588,0.9436814785003662,0.6597546339035034,0,0,0,1,1.0,Kỷ niệm chương Vì sự nghiệp Tư pháp được trao tặng với mục đích gì?,Kỷ niệm chương Vì sự nghiệp Tư pháp được xét tặng theo nguyên tắc nào?
50908,119814,0.9436436295509338,0.5744156837463379,0,0,0,1,0.5,Muốn khai thác đồi đất đỏ thì cần chuẩn bị hồ sơ gì để xin giấy phép?,Điều kiện để cấp Giấy phép khai thác đồi đất đỏ được quy định như thế nào?
13358,1186,0.9430521726608276,0.8752864599227905,0,0,0,1,1.0,Phẫu thuật điều trị viêm bao hoạt dịch của gân gấp bàn ngón tay là gì?,Phẫu thuật điều trị viêm bao hoạt dịch của gân gấp bàn ngón tay sẽ chống chỉ định trong trường hợp nào?
109160,69600,0.9429799914360046,0.6409053802490234,0,0,0,0,0.0,Xác định thời điểm sử dụng thẻ bảo hiểm y tế như thế nào?,Thời hạn sử dụng thẻ bảo hiểm y tế là bao lâu?
127970,132758,0.9427666068077087,0.8854064345359802,0,0,0,1,1.0,Trình tự cấp Giấy phép đủ điều kiện kinh doanh dịch vụ karaoke như thế nào?,Đơn đề nghị cấp Giấy phép đủ điều kiện kinh doanh dịch vụ karaoke được quy định như thế nào?
42238,166546,0.9415894746780396,0.8540298938751221,0,0,0,1,0.5,"Kỳ báo cáo kết quả thực hành tiết kiệm, chống lãng phí đối với báo cáo năm là khi nào?","Thời hạn gửi báo cáo kết quả thực hành tiết kiệm, chống lãng phí là khi nào?"
18150,87142,0.9408530592918396,0.6706223487854004,0,0,0,1,1.0,Người học ngành thiết kế thời trang trình độ cao đẳng sau khi tốt nghiệp phải đạt được những kỹ năng gì?,"Người học ngành thiết kế thời trang trình độ cao đẳng phải có khả năng học tập, nâng cao trình độ như thế nào?"
95546,91774,0.940255880355835,0.4811175465583801,0,0,0,2,1.0,Thời hạn sử dụng của Giấy xác nhận tình trạng hôn nhân là bao lâu?,Giấy xác nhận tình trạng hôn nhân có phải luôn có giá trị trong vòng 6 tháng kể từ ngày cấp không?
44238,105190,0.9393768310546875,0.7727411985397339,0,0,0,1,1.0,Từ chối hoặc thay đổi Thẩm phán trong quá trình giải quyết phá sản như thế nào?,Thẩm phán trong quá trình giải quyết phá sản bị thay đổi trong trường hợp nào?
103892,35214,0.9393591284751892,0.7002278566360474,0,0,0,0,0.0,Điều kiện được cấp chứng chỉ hành nghề hoạt động xây dựng như thế nào?,Đối tượng nào được cấp chứng chỉ hành nghề hoạt động xây dựng?
164096,15884,0.9393478035926819,0.7396568655967712,0,0,0,1,1.0,Mẫu quyết định phân công bổ sung Điều tra viên tiến hành điều tra vụ án hình sự được sử dụng và quản lý theo nguyên tắc nào?,Mẫu quyết định phân công bổ sung Điều tra viên tiến hành điều tra vụ án hình sự mới nhất?
13466,107196,0.9381559491157532,0.6345658302307129,0,0,0,0,0.0,Người dân phải đến đâu để đổi thẻ Căn cước công dân?,Công dân muốn đổi sang thẻ Căn cước công dân thì phải đến cơ quan nào?
97292,61388,0.938059389591217,0.8700463771820068,0,0,0,0,0.0,Tổ chức cung cấp dịch vụ chứng thực chữ ký số chuyên dùng Chính phủ có các trách nhiệm gì?,Tổ chức cung cấp dịch vụ chứng thực chữ ký số chuyên dùng Chính phủ có những nhiệm vụ quyền hạn nào?
15648,119006,0.9379841685295105,0.7439318299293518,0,0,0,1,1.0,Khu dân cư muốn được công nhận danh hiệu Khu dân cư sức khỏe thì phải đáp ứng những tiêu chuẩn nào?,Khu dân cư đề nghị công nhận danh hiệu Khu dân cư sức khỏe thì hồ sơ gồm những gì?
29272,74884,0.9377368092536926,0.748652458190918,0,0,0,3,0.6,Những ai sẽ được tăng lương từ ngày 01/7/2023 khi mà tăng lương cơ sở?,Đối tượng được tăng lương cơ sở từ ngày 01/7/2023?
116250,68598,0.9368872046470642,0.8864259719848633,0,0,0,1,0.5,Đề nghị xét tặng Giải thưởng Hồ Chí Minh về khoa học và công nghệ tại Hội đồng xét tặng giải thưởng chuyên ngành cấp nhà nước cần chuẩn bị những hồ sơ gì?,Thủ tục xét tặng Giải thưởng Hồ Chí Minh về khoa học và công nghệ tại Hội đồng xét tặng giải thưởng chuyên ngành cấp nhà nước?
34666,78318,0.936175525188446,0.7731282114982605,0,0,0,0,0.0,"Sử dụng hóa đơn, chứng từ khống có phải là sử dụng không hợp pháp hóa đơn, chứng từ?","Hành vi sử dụng hóa đơn, chứng từ không hợp pháp là những hành vi nào?"
23190,97482,0.9361376762390137,0.8595600128173828,0,0,0,0,0.0,Thông báo tuyển sinh không đủ thời gian theo quy định thì cơ sở giáo dục bị xử phạt vi phạm hành chính thế nào?,Thời hiệu xử phạt vi phạm hành chính đối với cơ sở giáo dục thông báo tuyển sinh không đủ thời gian theo quy định là bao lâu?
72456,143596,0.9360235333442688,0.9607850313186646,0,0,0,1,1.0,Thời gian làm việc để tính ngày nghỉ hằng năm được quy định như thế nào?,Thời gian làm việc để tính ngày nghỉ phép hằng năm được quy định như thế nào?
141800,106820,0.9357616901397705,0.6965522170066833,0,0,0,1,1.0,Nhóm do ngân sách nhà nước đóng bảo hiểm y tế,Nhóm do cơ quan bảo hiểm xã hội đóng bảo hiểm y tế
121732,136698,0.9350075125694275,0.6455148458480835,0,0,0,1,1.0,Người phân chia di sản thừa kế theo pháp luật quy định thế nào?,Những người nào không được chia di sản thừa kế?
24180,121732,0.9349372386932373,0.912570059299469,0,0,0,1,1.0,Hàng thừa kế phân chia di sản theo pháp luật được quy định như thế nào?,Người phân chia di sản thừa kế theo pháp luật quy định thế nào?
9476,35214,0.9342060685157776,0.6265614628791809,0,0,0,1,1.0,Điều kiện chung để được cấp chứng chỉ hành nghề hoạt động xây dựng được quy định như thế nào?,Đối tượng nào được cấp chứng chỉ hành nghề hoạt động xây dựng?
41828,125068,0.9341347217559814,0.5392687916755676,0,0,0,1,0.5,Pháp luật quy định như thế nào về người khuyết tật?,Người khuyết tật được hiểu như thế nào?
157378,17278,0.9327523112297058,0.8619723916053772,0,0,0,1,0.5,Thuyết minh hồ sơ đồ án quy hoạch chung xây dựng khu chức năng gồm những nội dung gì?,Thuyết minh hồ sơ đồ án quy hoạch chi tiết xây dựng khu chức năng gồm các nội dung gì?
87050,28368,0.9316129684448242,0.5741459131240845,0,0,0,1,0.5,Quản lý và sử dụng kinh phí bảo đảm cho công tác điều ước quốc tế theo nguyên tắc như thế nào?,"Sử dụng và quyết toán kinh phí bảo đảm cho công tác điều ước quốc tế, công tác thỏa thuận quốc tế?"
