qid,question,same_qid,same_qid_same_text,exact_warmup_qids
122046,Ban chỉ đạo chống dịch bệnh truyền nhiễm bao gồm những cơ quan nào?,1,1,122046
150432,Mạng xã hội có thuộc hình thức giao dịch của sàn thương mại điện tử không? ,1,1,150432
38836,Làm việc bán thời gian là gì?,1,1,38836
93438,"Người học ngành công nghệ sinh học trình độ cao đẳng phải có khả năng học tập, nâng cao trình độ như thế nào?",1,1,93438
166676,Nhà đầu tư nước ngoài đầu tư gián tiếp vào Việt Nam có thể mở tài khoản đầu tư gián tiếp bằng ngoại tệ được hay không?,1,1,166676
28844,"Chào bán cạnh tranh, thỏa thuận lô cổ phần kèm nợ phải thu của doanh nghiệp mua bán nợ được thực hiện như thế nào?",1,1,28844
100386,Hồ sơ đăng ký thường trú trong trường hợp con về ở với cha mẹ thì cần những giấy tờ nào?,1,1,100386
108470,Có cần đăng ký website với Bộ Công thương không?,1,1,108470
80974,Có bao nhiêu môn thể thao được tổ chức thi đấu tại Đại hội Thể thao học sinh Đông Nam Á lần thứ 13 năm 2023?,1,1,80974
42720,Tiền đặt trước và xử lý tiền đặt trước được quy định ra sao?,1,1,42720
164010,Thẩm định báo cáo nghiên cứu khả thi đầu tư xây dựng theo quy định pháp luật ,1,1,164010
159118,Trường hợp mất thẻ hoặc lộ thông tin thẻ ngân hàng thì xử lý như thế nào?,1,1,159118
27220,Tổ chức sử dụng khu vực biển để làm vùng nước cảng biển phải nộp bao nhiêu tiền?,1,1,27220
109498,Thẩm quyền quyết định đầu tư vốn nhà nước để mua lại một phần doanh nghiệp thuộc về những cơ quan nào?,1,1,109498
67196,Thành viên cơ quan lãnh sự có được miễn nghĩa vụ về giấy phép lao động theo quy định của Nước tiếp nhận không?,1,1,67196
110118,Sửa chữa căn hộ chung cư có cần phải xin giấy phép xây dựng không?,1,1,110118
130746,"Quy định về bảo vệ môi trường đối với hộ gia đình, cá nhân được quy định như thế nào?",1,1,130746
14298,Doanh nghiệp kinh doanh muốn có giấy phép quá cảnh hàng hóa của Trung Quốc qua lãnh thổ Việt Nam thì hồ sơ đề nghị cấp giấy phép gồm những gì?,1,1,14298
154722,Báo cáo Bộ Giáo dục và Đào tạo công tác quản lý nhà nước đối với kinh doanh dịch vụ tư vấn du học về những nội dung gì?,1,1,154722
158676,Báo cáo sự cố công trình xây dựng được thực hiện như thế nào?,1,1,158676
102090,Biên bản giao nhận người có hành vi vi phạm hành chính phải ghi rõ các nội dung gì?,1,1,102090
100888,Công trình xây dựng là gì?,0,0,148360
84730,Yêu cầu về kinh nghiệm đối với vị trí chuyên viên cao cấp về quản lý bản quyền tác giả như thế nào?,1,1,84730
31430,Điều kiện để hưởng bảo hiểm xã hội khi ốm đau?,1,1,31430
65512,Đối tượng nào được tuyển thẳng trong tuyển sinh THPT?,1,1,65512
112602,Ai có thẩm quyền quyết định bổ nhiệm chức danh người đứng đầu Văn phòng Ban cán sự đảng Bộ GDĐT?,1,1,112602
167722,Công chức là người đứng đầu cơ quan vi phạm pháp luật về phòng chống tham nhũng thì có bị xử lý kỷ luật nặng hơn người vi phạm khác không?,1,1,167722
165190,"Theo quy định của pháp luật hiện hành, những hành vi nào bị cấm trong hoạt động thương mại điện tử?",1,1,165190
29470,Tổ thẩm định nhiệm vụ khoa học và công nghệ cấp Bộ của Bộ Văn hóa Thể thao và Du lịch làm việc theo nguyên tắc nào?,1,1,29470
33688,Soạn thảo văn bản quy phạm pháp luật của Bộ Giao thông vận tải theo thủ tục rút gọn trong những trường hợp nào?,1,1,33688
164868,Ai có quyền cấp chứng chỉ chuyên môn cho người điều khiển phương tiện giao thông?,1,1,164868
164100,Quy định mới về xử phạt vi phạm trong lĩnh vực trồng trọt khi nào có hiệu lực?,1,1,164100
127244,Thời hạn xác nhận hồ sơ đề nghị hỗ trợ tiền thuê nhà như thế nào?,1,1,127244
60202,"Ai có quyền quyết định chỉnh sửa nội dung chứng chỉ nghiệp vụ sư phạm dạy trình độ cao đẳng, trình độ trung cấp?",1,1,60202
83518,Con liệt sĩ ở TP. Hồ Chí Minh sẽ được cộng lên đến 02 điểm cho kỳ thi tuyển sinh vào lớp 10 sắp tới?,1,1,83518
137290,Việc tổ chức nhập học đối với học viên trúng xét tuyển chương trình đào tạo sơ cấp lý luận chính trị tại Trung tâm chính trị cấp huyện là trách nhiệm của ai?,1,1,137290
115984,"Trình tự, thủ tục xây dựng kế hoạch thanh tra của Thanh tra tỉnh được pháp luật quy định như thế nào? ",1,1,115984
77890,Thủ tục cấp bản sao trích lục lại giấy đăng ký kết hôn như thế nào?,1,1,77890
144880,Ai có quyền quyết định triệu tập Đại hội nhiệm kỳ hoặc Hội nghị đại biểu hàng năm?,1,1,144880
166960,Quy định về việc hỗ trợ bảo vệ rừng là rừng tự nhiên trong thời gian đóng cửa rừng?,1,1,166960
147366,"Quyền của tổ chức, cá nhân cung cấp dịch vụ hóa đơn, chứng từ điện tử là gì?",1,1,147366
7230,"Được hưởng trợ cấp một lần, trợ cấp hàng tháng vào thời điểm nào?",1,1,7230
74556,Trên Giấy chứng nhận kiểm định có phải sẽ in hình xe cơ giới được kiểm định hay không?,1,1,74556
