row_index,qid,question,char_len,word_len,count_dieu,count_khoan,count_diem,count_chuong,count_muc,instrument_luat,instrument_bo_luat,instrument_nghi_dinh,instrument_thong_tu,instrument_quyet_dinh,instrument_nghi_quyet,instrument_phap_lenh,instrument_hien_phap,has_explicit_legal_locator,has_instrument_number,has_year,has_version_cue,has_cross_ref_cue,instrument_type_count,has_numeric_expression,has_entity_hint,archetype
24,32236,Bảng giá đất có được sử dụng làm căn cứ để tính giá trị quyền sử dụng đất để trả cho người tự nguyện trả lại đất cho Nhà nước hay không?,136,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CONDITION
25,45250,"Tiêu chuẩn để được làm hiệu trưởng trường trung cấp, trường cao đẳng là gì?",75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
26,153148,Khai thác gỗ rừng trồng thông thường do Nhà nước là đại diện chủ sở hữu có thuộc trường hợp phê duyệt phương án khai thác hay không?,132,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
27,160472,Thủ tục cấp Giấy phép kinh doanh vật liệu nổ công nghiệp được thực hiện như thế nào?,84,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
28,62006,Tổ chức đánh giá độc lập về Hệ thống bảo đảm gỗ hợp pháp Việt Nam thực hiện đánh giá định kỳ bao nhiêu tháng một lần?,117,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NUMERICAL_THRESHOLD
29,64204,Sử dụng phương tiện điện tử để phạm tội đánh bạc có thể bị phạt bao nhiêu năm tù?,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCTION
30,52962,Xe chở vật liệu xây dựng rơi vãi xuống đường gây tai nạn giao thông có bị xử lý hình sự không?,94,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
31,118074,Nhiệm vụ và quyền hạn của Tổng cục Phòng chống thiên tai là gì?,63,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFINITION
32,93968,Cấp lại giấy phép hoạt động bến thủy nội địa thuộc phạm vi quản lý của Bộ Quốc phòng theo trình tự như thế nào?,111,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PROCEDURE
33,69912,"Có cấm điều khiển xe máy, xe đạp đi hàng ngang trên đường hay không?",68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
34,36348,Việc công nhận kho ngoại quan được thực hiện theo trình tự nào?,63,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PROCEDURE
35,29236,Muốn làm bác sỹ y học dự phòng hạng II thì cần phải làm bác sỹ y học dự phòng hạng III trong bao nhiêu năm?,107,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NUMERICAL_THRESHOLD
36,109812,"Thời gian bồi dưỡng, huấn luyện nghiệp vụ cứu nạn, cứu hộ là khi nào?",69,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
37,59554,Sau khi bảo quản bơ quả tươi có cần đưa vào làm lạnh hay không?,63,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
38,126574,"Khi kết nối Cơ sở dữ liệu quốc gia về dân cư thì cơ quan, tổ chức có được phép lấy các thông tin về đời sống riêng tư, bí mật cá nhân hay không?",144,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONDITION
39,34872,Đổi thẻ bảo hiểm y tế nơi khám chữa bệnh ban đầu được không?,60,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
40,69478,Thành viên Hội đồng thi làm mất bài thi của thí sinh thì giải quyết như thế nào?,80,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
41,140384,"Nguyên tắc trao đổi, cung cấp thông tin trong hoạt động giám sát an toàn hệ thống thông tin như thế nào?",104,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
42,55700,Ai có trách nhiệm lập dự toán kinh phí hỗ trợ hoạt động của Đoàn Hội thẩm quân nhân?,84,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
43,37944,"Công tác sàng lọc, đưa đảng viên ra khỏi Đảng được thực hiện thực hiện định kỳ vào khoảng thời gian nào?",104,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
44,160062,Bệnh tay chân miệng được chia thành mấy mức độ? Bệnh nhân được điều trị bệnh tay chân miệng ngoại trú tại nhà khi nào?,118,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NUMERICAL_THRESHOLD
45,59458,Nộp thuế giá trị gia tăng tại đâu?,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
46,59724,Người nộp thuế là nhà thầu nước ngoài phải tuân thủ những quy định nào?,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
47,84070,Khu du lịch cấp tỉnh cần có hệ thống cơ sở lưu trú du lịch đáp ứng tối thiểu bao nhiêu lượt khách lưu trú mỗi năm?,114,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
48,165886,"Thực hiện dân chủ trong công tác phòng cháy, chữa cháy và cứu nạn, cứu hộ phải đảm bảo các nguyên tắc nào?",106,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
49,9088,"Nguyên tắc đánh giá, xếp loại chất lượng công chức, viên chức như thế nào?",74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
50,91430,Trường hợp nào không xử phạt vi phạm hành chính?,48,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCTION
51,168090,Công trình hạ tầng kỹ thuật bao gồm những công trình nào?,57,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
52,2230,Việc công bố sản phẩm mỹ phẩm hiện nay phải đảm bảo những quy định nào?,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
53,124126,Khi nào đơn phương chấm dứt hợp đồng lao động trái pháp luật?,61,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GENERAL_SEMANTIC
54,156702,Giảng viên chuyên trách giảng dạy hoàn thành xuất sắc nhiệm vụ đào tạo sơ cấp lý luận chính trị tại Trung tâm chính trị cấp huyện có được đề nghị khen thưởng không?,164,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
55,121672,Hợp đồng bảo hiểm quy định những nội dung gì? Trách nhiệm bảo hiểm phát sinh vào thời điểm nào?,95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
56,160538,"Mẫu thông báo về việc bổ sung, cập nhật thông tin đăng ký doanh nghiệp?",71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,PROCEDURE
57,48262,Hồ sơ đề nghị giải quyết hưởng chế độ dưỡng sức sau khi sẩy thai được pháp luật quy định như thế nào?,101,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PROCEDURE
58,30518,Bảo đảm nguồn lực tài chính quốc phòng có phải là nhiệm vụ chi của ngân sách trung ương hay không?,98,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
59,104260,Nghĩa vụ của doanh nghiệp bảo hiểm trong hoạt động đầu tư xây dựng quy định như thế nào?,88,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GENERAL_SEMANTIC
60,47934,Thủ tục xem xét cho từ chức đối với người quản lý doanh nghiệp thuộc Bộ Giao thông vận tải được thực hiện như thế nào?,118,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
61,77180,Thế nào là kế hoạch thanh tra? Kế hoạch thanh tra bao gồm những gì?,67,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFINITION
62,153498,Đối với phi công quân sự cấp 3 thì việc cấp Giấy chứng nhận cấp kỹ thuật phi công thuộc thẩm quyền của ai?,106,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PROCEDURE
63,167370,Giấy thông hành có thời hạn sử dụng trong bao lâu?,50,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NUMERICAL_THRESHOLD
64,22946,Việc khám nghiệm tử thi trong vụ án hình sự được quy định như thế nào?,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
65,151268,Quy tắc ứng xử nơi công cộng của Viên chức của Bộ Xây dựng được quy định như thế nào?,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
66,115956,Thời hạn để người nước ngoài cần đăng ký tạm trú tại Việt Nam là bao lâu?,73,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
67,115738,"Tiêu chuẩn để làm nhân viên y tế thôn, bản được pháp luật quy định như thế nào?",79,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CONDITION
68,73712,Khái niệm về sổ đỏ là gì?,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEFINITION
69,27310,Trình tự công nhận khu du lịch quốc gia gồm bao nhiêu bước thực hiện?,69,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
70,123232,Thỏa thuận quốc tế trong Quân đội nhân dân có thể bị chấm dứt khi nào?,70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
71,126704,Pháp luật quy định việc tuyên truyền dịch vụ tư vấn sử dụng năng lượng tiết kiệm như thế nào?,93,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GENERAL_SEMANTIC
72,74322,Tài xế chở quá trọng lượng hàng hóa so với giấy phép lưu hành bị phạt bao nhiêu tiền?,85,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCTION
73,144010,Những hành vi nào xâm phạm chỉ dẫn địa lý?,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
74,4694,Thành viên đội dân phòng bị thương khi trực tiếp chữa cháy nhưng không tham gia bảo hiểm xã hội có được chi trả chi phí khám chữa bệnh không?,141,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
75,19146,Trong 24 giờ kể từ khi ra quyết định thay đổi quyết định khởi tố vụ án hình sự thì Cơ quan điều tra cần làm gì?,111,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,GENERAL_SEMANTIC
76,2910,Trường hợp nào không được chứng thực chữ ký?,44,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELIGIBILITY
77,160676,Điều kiện hưởng chế độ thai sản khi sinh đôi nhưng nghỉ việc trước sinh được pháp luật quy định như thế nào?,108,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CONDITION
78,154332,Vụ Quan hệ quốc tế có chế độ xây dựng văn bản như thế nào?,58,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
79,148156,Doanh nghiệp phải nộp báo cáo tài chính cho những cơ quan nào?,62,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
80,132274,Thẩm quyền phê duyệt kế hoạch đào tạo bồi dưỡng kiểm toán viên nhà nước trung hạn thuộc về ai?,94,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
81,92300,Công chứng di chúc được quy định như thế nào?,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
82,61702,Hồ sơ đăng ký tham gia khóa bồi dưỡng nghề công chứng khi thuộc trường hợp được miễn đào tạo nghề công chứng gồm những tài liệu gì?,131,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
83,58652,Chủ tịch Ủy ban nhân dân cấp huyện được quyền xử phạt cơ sở tiêm chủng không bảo đảm an toàn trong khi tiêm chủng không?,120,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SANCTION
84,129780,Quyền yêu cầu giải quyết ly hôn khi chồng không thừa nhận con,61,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
85,63300,"Yêu cầu về năng lực chuyên môn, nghiệp vụ đối với viên chức được bổ nhiệm chức danh thẩm kế viên hạng 1 thế nào?",112,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CONDITION
86,65268,Nguồn kinh phí biên soạn tài liệu đào tạo hoạt động khuyến nông được lấy từ đâu?,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
87,122604,Sau khi tốt nghiệp ngành nguội sửa chữa máy công cụ trình độ trung cấp thì người học phải có được tối thiểu những kiến thức nào?,128,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
88,25944,Thời hạn nộp báo cáo tình hình sử dụng hóa đơn?,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
89,82818,Tác giả tác phẩm thuộc loại hình kịch múa được hưởng thêm nhuận bút khuyến khích khi nào?,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELIGIBILITY
90,43312,Xe ô tô đầu kéo kéo sơ mi rơ moóc muốn được vận chuyển container thì xin cấp phù hiệu gì?,89,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
91,59904,"Thực hiện đề án hỗ trợ học sinh, sinh viên khởi nghiệp theo các nhiệm vụ và giải pháp như thế nào?",98,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GENERAL_SEMANTIC
92,145758,Sử dụng người chưa đủ 13 tuổi làm việc thì có cần phải có phiếu đồng ý của người đại diện theo pháp luật trong hợp đồng không?,126,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,CROSS_REFERENCE
93,57420,Thời hạn giải quyết hồ sơ được quy định ra sao?,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
94,41458,Nội dung quy định áp giá của bảng giá đất nhóm đất nông nghiệp trên địa bàn tỉnh Lạng Sơn?,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
95,11702,"Ban Thư ký Hội thi giảng viên giỏi nghiệp vụ sư phạm toàn quốc có nhiệm vụ, quyền hạn gì?",89,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
96,38602,Chi cục Hải quan quản lý kho có trách nhiệm như thế nào với việc chuyển loại xăng dầu trong kho ngoại quan xăng dầu?,116,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
97,151672,Việc đăng ký thay đổi vốn điều lệ được thực hiện theo quy định như thế nào?,75,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PROCEDURE
98,77606,Tờ rơi in quảng cáo bột ngũ cốc dùng cho trẻ từ 12 đến dưới 24 tháng tuổi phải thể hiện những thông tin gì về sản phẩm?,119,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GENERAL_SEMANTIC
99,160330,Thời gian khi tham gia huấn luyện dân quân tự vệ thường trực là trong bao lâu?,78,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NUMERICAL_THRESHOLD
100,161300,"Kết quả đánh giá, xếp loại chất lượng công chức được xem là căn cứ để thực hiện những nội dung gì?",98,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GENERAL_SEMANTIC
101,6770,Nội dung chi tiết của đào tạo cấp chứng chỉ chứng nhận chuyên môn về y tế lao động được quy định như thế nào?,109,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
102,5274,Góp vốn vào hợp tác xã bằng quyền sử dụng đất có được hay không?,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
103,74270,Bếp ăn tập thể có phải là cơ sở kinh doanh dịch vụ ăn uống không?,65,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
104,64744,Doanh nghiệp đầu tư ra nước ngoài trong lĩnh vực khai thác vàng muốn được cấp Giấy phép nhập khẩu vàng nguyên liệu cần đáp ứng những gì?,136,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
105,140792,Hồ sơ đăng ký tham gia khóa đào tạo nghề Thừa phát lại bao gồm những tài liệu gì?,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
106,1442,"Phát tán hình ảnh, video đồi trụy của người khác bị truy cứu trách nhiệm hình sự tội gì?",88,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SANCTION
107,58880,Ban quản lý dự án đầu tư xây dựng có quyền và nghĩa vụ như thế nào?,67,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
108,53858,Người lao động vận hành cần máy bơm bê tông có cần phải có chứng chỉ về an toàn vệ sinh lao động gì không?,106,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GENERAL_SEMANTIC
109,1872,Thủ tục ra khỏi Hiệp hội Vận tải ôtô Việt Nam được quy định thế nào?,68,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PROCEDURE
110,118454,Thanh tra Bộ Công an sẽ tiến hành thanh tra đối với những đối tượng nào?,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
111,146948,Làm thế nào để thực hiện đăng ký bản quyền đối với logo công ty?,64,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
112,21760,Chữ ký số được sử dụng trong trường hợp nào?,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ELIGIBILITY
113,126058,Miễn thị thực đối với người nước ngoài là vợ công dân Việt Nam cần đáp ứng những điều kiện gì?,94,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
114,18626,Doanh nghiệp đại lý dịch vụ viễn thông có thể từ chối cung cấp dịch vụ cho người sử dụng dịch vụ viễn thông trong trường hợp nào?,129,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PROCEDURE
115,24958,Ai có trách nhiệm tổ chức đánh giá tài nguyên nước dưới đất?,60,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GENERAL_SEMANTIC
116,4306,"Hồ sơ đề nghị chấp thuận chương trình, dự án theo cơ chế trao đổi, bù trừ tín chỉ các bon gồm những tài liệu gì?",112,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PROCEDURE
117,5712,Người được giao thực hiện việc sao chụp tài liệu bí mật Nhà nước phải là những người nào?,89,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENERAL_SEMANTIC
118,84084,"Biển hiệu Tổng cục trong Công an nhân dân tại trụ sở cơ quan, đơn vị có hình dáng kích thước và chất liệu màu sắc như thế nào?",126,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GENERAL_SEMANTIC
119,127538,Đơn đề nghị điều chỉnh giấy phép thăm dò nước dưới đất được thực hiện theo mẫu nào?,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GENERAL_SEMANTIC
120,64542,"Quy định của pháp luật về giảm thuế đối với hàng hóa xuất khẩu, nhập khẩu?",74,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GENERAL_SEMANTIC
121,170,Cơ quan nào có thẩm quyền đổi tên gọi của khu công nghiệp?,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GENERAL_SEMANTIC
122,6264,"Người tham gia thanh tra, kiểm tra cần đáp ứng những điều kiện nào?",67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONDITION
